tweets,location
  Yes we need 1 booster seat. Its day two for     ,
   says he surprised by the opioid epidemic but continued to allow  to sell them illegally on their,
  Its love/ hate with          ,
"  Mark Zuckerberg being swarmed by cameras = perfect metaphor for online privacy
The Verge 
Im sorry tha","Ohio, USA"
"  Facebook's CIA Friends

 


 ",I use old-speak?I comprehend new-speak?self actualized golem
"Mark Zuckerberg being swarmed by cameras = perfect metaphor for online privacy
The Verge 
Im sorry that Im not sorry!

 







 ","San Diego, CA"
"      
   ","California, USA"
